age,gender,income,education_level,purchase_frequency,avg_order_value,days_since_last_purchase,email_open_rate,loyalty_points,support_tickets
19,Female,73687.08,Bachelor,8,25.57,9,0.74,2089.0,1
48,Female,25184.94,Master,0,30.31,62,0.131,449.0,1
42,Male,78657.05,Bachelor,3,170.69,87,0.124,4578.0,4
52,Male,70233.34,High School,1,45.27,112,0.181,363.0,1
39,Male,72112.3,Master,2,111.62,127,0.133,3278.0,0
44,Female,91992.11,Some College,8,251.11,6,0.726,6853.0,0
45,Female,34238.96,High School,0,26.69,96,0.211,103.0,1
44,Female,50011.41,Master,3,41.0,108,0.207,504.0,0
36,Male,49746.39,Master,1,53.69,100,0.634,950.0,0
52,Female,61141.74,Master,12,203.96,2,0.578,3668.0,0
29,Male,58577.05,Some College,2,455.29,102,0.155,5231.0,2
52,Female,51823.09,Bachelor,4,145.92,31,0.587,1221.0,0
46,Female,59329.73,Bachelor,0,59.13,148,0.02,4325.0,3
18,Male,58871.18,Some College,0,5.0,79,0.248,502.0,3
29,Female,53461.54,Bachelor,1,52.54,93,0.08,2162.0,5
43,Male,42066.07,Bachelor,3,260.25,128,0.119,5255.0,1
21,Female,64925.21,Some College,2,199.8,79,0.394,2903.0,2
39,Female,91529.46,Bachelor,10,117.33,2,0.829,8065.0,0
38,Male,49806.0,High School,2,157.76,78,0.343,6733.0,2
22,Female,35329.53,Bachelor,1,146.36,84,0.358,177.0,1
18,Female,67364.58,Bachelor,0,24.63,119,0.317,398.0,0
29,Non-binary,36573.9,Some College,2,103.21,82,0.191,107.0,2
52,Male,91383.3,Doctorate,9,456.62,12,0.938,5755.0,1
50,Female,79520.56,Master,8,251.84,1,0.825,6288.0,0
57,Female,108268.19,Master,9,476.74,8,0.702,11741.0,0
45,Male,50757.29,Master,1,154.76,133,0.111,3020.0,1
32,Female,28885.19,High School,1,12.18,108,0.342,452.0,0
55,Female,92829.66,Master,12,273.97,3,0.927,5822.0,1
35,Female,27526.44,High School,1,19.18,77,0.204,309.0,0
20,Female,41175.97,Doctorate,5,242.57,13,0.643,3456.0,1
33,Female,51805.29,Master,8,413.9,4,0.769,9565.0,0
47,Female,35556.57,Bachelor,2,141.19,79,0.242,4322.0,2
30,Male,68063.01,Bachelor,5,166.44,11,0.652,11950.0,0
27,Female,19200.6,High School,4,46.84,97,0.074,882.0,0
51,Male,90256.05,Some College,14,324.72,7,0.846,9800.0,0
29,Female,32389.87,High School,6,15.16,117,0.159,675.0,2
34,Non-binary,51665.58,Bachelor,4,123.44,148,0.316,7340.0,4
27,Male,74263.01,Bachelor,7,376.44,1,0.66,15181.0,0
48,Male,26592.74,Master,0,21.58,70,0.27,380.0,0
41,Female,25224.84,Bachelor,1,44.54,84,0.136,552.0,0
44,Male,28262.86,Some College,0,26.19,88,0.062,323.0,1
52,Male,66622.42,Master,1,234.97,115,0.382,2243.0,3
47,Male,42646.7,Bachelor,3,152.69,16,0.554,3908.0,1
38,Female,52793.14,Doctorate,2,226.71,78,0.126,3773.0,3
44,Female,56264.61,Master,10,403.87,10,0.902,8929.0,0
39,Male,74168.61,Master,5,497.04,6,0.801,11565.0,1
26,Female,31004.43,High School,1,16.72,89,0.09,512.0,1
35,Female,103350.29,Master,5,86.66,118,0.108,6510.0,7
35,Female,28336.79,Bachelor,6,151.52,33,0.806,3761.0,1
38,Male,66454.14,Some College,6,268.01,11,0.917,4574.0,0
47,Female,84618.45,Some College,12,443.2,10,0.79,4276.0,2
51,Male,78961.71,Doctorate,16,500.0,11,0.834,15899.0,0
30,Female,41759.26,Doctorate,1,129.72,139,0.269,3323.0,4
55,Male,25111.18,Some College,2,21.66,46,0.191,1090.0,2
35,Female,59674.67,Some College,6,204.56,3,0.882,4735.0,0
43,Female,73804.38,Some College,4,160.13,10,0.614,2610.0,1
29,Male,63052.58,High School,2,81.25,20,0.869,1722.0,2
50,Male,46631.33,Bachelor,1,24.86,83,0.163,530.0,1
28,Male,33163.67,High School,1,25.51,54,0.1,41427.91977394555,3
60,Male,60415.98,Some College,7,91.6,13,0.751,2650.0,0
32,Female,34178.53,Bachelor,2,82.05,31,0.554,2948.0,0
41,Male,50654.79,Bachelor,5,75.51,17,0.632,2138.0,1
53,Male,69392.71,Doctorate,11,287.67,12,0.9,15771.0,0
48,Male,58936.23,Bachelor,6,500.0,10,0.771,8678.0,0
36,Male,40705.39,Some College,4,238.59,22,,4436.0,0
62,Female,65497.45,High School,6,167.04,21,0.884,2404.0,3
33,Male,36257.8,Some College,0,63.89,108,0.066,1282.0,0
52,Male,53104.58,Some College,7,180.19,12,0.854,9000.0,0
43,Male,56734.81,Bachelor,3,50.53,24,0.838,1789.0,0
33,Male,20936.03,Some College,0,35.68,69,0.397,246.0,1
48,Male,49814.97,Some College,3,66.59,12,0.481,1733.0,0
46,Male,47283.66,Some College,3,96.4,28,0.485,1924.0,1
64,Male,57772.98,Master,3,80.95,16,0.702,1297.0,3
46,Male,56123.21,Master,8,146.78,8,0.851,10994.0,0
45,Female,84005.18,Bachelor,5,251.27,2,0.905,1519.0,1
56,Female,66369.63,Bachelor,7,233.81,3,0.942,10762.0,0
51,Female,118267.67,Bachelor,12,344.85,11,0.909,2517.0,0
42,Female,64780.64,Bachelor,6,355.12,4,0.831,6707.0,0
53,Male,56528.94,Master,2,97.41,34,0.545,2209.0,1
18,Male,72099.0,Bachelor,3,165.11,117,0.249,3265.0,2
54,Female,82422.29,High School,10,450.58,5,0.99,9586.0,0
29,Female,67193.05,Master,9,32.26,28,0.707,1725.0,1
31,Male,88947.11,Master,7,280.55,6,0.766,6847.0,0
38,Female,87813.54,Some College,6,27.83,17,0.748,1078.0,4
55,Male,67559.34,Some College,11,194.98,9,0.927,5359.0,0
49,Male,65649.49,Bachelor,8,123.2,3,0.761,5361.0,2
40,Female,91446.46,Bachelor,3,201.53,145,0.17,1267.0,3
44,Non-binary,54816.55,Doctorate,0,259.54,67,0.206,5712.0,3
38,Female,58719.78,Some College,6,454.94,8,0.85,2882.0,0
41,Non-binary,106132.14,Bachelor,8,169.25,6,0.929,11744.0,0
43,Male,509933.8686086359,Some College,1,288.01,120,0.232,5142.0,1
41,Male,86321.15,Some College,3,214.03,18,0.752,3068.0,2
31,Male,78865.2,Master,2,134.96,117,0.205,2431.0,4
52,Male,74563.5,Some College,4,70.76,8,0.546,938.0,0
30,Female,36550.75,Master,0,70.52,69,0.22,553.0,3
24,Male,88773.88,High School,2,21.43,69,0.224,900.0,1
53,Male,197871.36,Master,2,109.03,82,0.191,3914.0,2
28,Female,22206.83,Some College,2,48.13,111,0.444,1116.0,2
42,Male,52721.76,Bachelor,4,93.14,18,0.601,844.0,2
21,Male,62968.93,Master,9,90.18,22,0.704,2463.0,3
24,Female,28123.67,Some College,1,8.3,98,0.172,372.0,0
56,Male,49599.54,Bachelor,4,124.21,28,0.725,2847.0,1
51,Female,93667.99,Master,6,215.95,4,0.633,5474.0,0
30,Male,35243.75,Bachelor,2,43.15,113,0.466,313.0,0
39,Male,26359.69,High School,4,155.06,96,0.118,6786.0,2
40,Male,63265.93,Bachelor,4,92.18,98,0.209,5036.0,1
52,Male,41223.26,Master,1,74.77,28,0.735,2090.0,2
23,Male,43704.87,Some College,1,70.44,61,0.364,48.0,2
30,Female,68249.77,Master,14,375.71,10,0.881,8598.0,0
49,Female,24205.0,Doctorate,0,20.29,75,0.557,281.0,1
18,Male,62611.23,Some College,4,45.72,23,0.765,4078.0,0
25,Male,,Bachelor,1,120.64,75,0.12,4294.0,2
48,Female,68305.34,Master,3,148.92,106,0.11,8229.0,1
39,Male,53666.15,High School,1,457.53,133,0.269,3336.0,4
42,Male,70194.99,Some College,5,150.62,34,0.437,2294.0,0
47,Non-binary,74707.75,Bachelor,13,179.25,6,0.885,6488.0,0
59,Female,86267.69,Doctorate,3,282.74,7,0.724,9847.0,0
47,Male,33976.31,Doctorate,8,133.13,21,0.606,3080.0,0
38,Male,70845.44,Doctorate,7,252.79,2,0.747,4741.0,1
37,Female,34713.44,Some College,0,13.12,87,0.371,210.0,2
34,Male,40262.09,Some College,2,10.58,65,0.283,576.0,0
55,Female,80900.7,Some College,13,98.22,13,0.791,7745.0,0
44,Male,38279.38,Master,0,32.57,58,0.432,495.0,0
29,Male,33075.98,Master,1,66.97,58,0.446,18.0,1
62,Female,86861.42,Bachelor,4,140.38,101,0.151,1909.0,4
53,Male,45069.3,Some College,1,113.87,106,0.1,2014.0,2
57,Male,56446.26,Doctorate,16,297.22,10,0.837,5580.0,0
37,Female,31178.58,Master,3,76.22,66,0.042,2670.0,2
37,Female,45725.87,Doctorate,3,127.62,105,0.12,5262.0,2
34,Male,26035.74,Some College,2,9.68,101,0.028,1462.0,1
46,Female,36054.47,Some College,6,86.05,12,0.435,610.0,2
32,Male,39690.63,Some College,4,83.57,33,0.563,2594.0,2
30,Female,26194.08,Some College,0,21.44,83,0.437,911.0,1
33,Male,85747.82,Master,2,315.25,70,0.139,6026.0,3
62,Male,46453.3,High School,6,,22,0.47,4799.0,0
35,Male,39797.51,Bachelor,7,71.43,16,0.703,2381.0,0
27,Female,49883.85,Bachelor,2,115.21,65,0.305,551.0,0
46,Male,41464.1,High School,1,14.65,88,0.137,1394.0,1
31,Female,63586.78,Bachelor,4,193.7,116,0.323,3264.0,4
43,Male,38390.02,Bachelor,2,10.02,86,0.255,655.0,0
43,Female,55054.69,Bachelor,3,48.45,16,0.735,3274.0,0
51,Non-binary,67195.35,Bachelor,5,81.1,8,0.532,585.0,0
38,Male,31396.67,Bachelor,4,207.37,12,0.408,3781.0,2
56,Female,62638.83,Some College,8,342.53,9,0.918,12629.0,0
39,Male,65466.36,Bachelor,2,150.91,11,0.739,868.0,1
21,Female,23189.31,Bachelor,2,9.09,109,0.279,128.0,0
31,Male,46556.28,High School,5,46.45,30,0.549,3728.0,1
29,Male,54520.88,High School,1,219.59,139,0.304,1920.0,4
40,Female,75769.37,Some College,4,291.41,5,0.854,6421.0,0
46,Male,106659.06,Master,9,500.0,10,0.848,8816.0,2
60,Male,74641.65,Bachelor,5,338.97,4,0.574,5494.0,0
33,Male,45656.31,Bachelor,1,436.35,75,0.207,5000.0,4
31,Female,21928.32,Bachelor,1,24.14,117,0.41,667.0,0
47,Non-binary,65899.26,Bachelor,4,332.39,8,0.75,5167.0,0
26,Female,70316.85,Master,12,296.78,12,0.793,7681.0,0
43,Female,46667.22,Master,4,116.53,34,0.642,1318.0,0
35,Female,43565.17,Bachelor,3,94.57,66,0.241,4190.0,1
28,Female,47534.86,Master,6,232.72,11,0.616,1724.0,0
37,Female,44698.0,Bachelor,1,222.21,129,0.307,1892.0,2
39,Female,84025.66,Bachelor,2,275.43,98,0.342,4313.0,4
44,Female,77157.46,Bachelor,9,250.45,5,0.582,3180.0,0
46,Male,58083.59,Master,1,172.72,133,0.336,28258.386396572027,3
31,Female,96996.61,Master,7,217.56,10,0.894,13616.0,0
39,Female,61294.37,Master,1,175.47,140,0.282,7012.0,4
41,Male,62272.53,Bachelor,5,44.01,11,0.706,1419.0,1
45,Female,45741.17,Master,6,67.41,34,0.856,3678.0,1
49,Female,77335.78,Bachelor,11,358.9,1,0.757,7758.0,1
32,Female,24065.59,Bachelor,0,34.26,57,0.159,1173.0,0
42,Female,59405.22,Some College,1,162.11,27,0.68,434.0,1
58,Male,64276.31,High School,1,176.43,83,0.366,7369.0,1
59,Female,58965.85,Bachelor,9,251.94,4,0.812,6658.0,1
30,Male,47418.55,High School,1,33.26,61,0.204,839.0,1
37,Male,71453.24,High School,6,84.34,12,0.339,1587.0,0
18,Female,34347.22,Some College,0,45.96,48,0.242,236.0,1
19,Female,42855.79,Master,0,21.28,62,0.417,394.0,0
32,Female,49491.39,Master,3,266.92,114,0.056,3956.0,7
43,Female,46806.76,Doctorate,1,114.53,21,0.651,2913.0,2
53,Female,43446.19,High School,4,174.9,7,0.714,1311.0,3
41,Female,73772.95,Some College,7,161.45,4,0.957,6627.0,1
58,Female,19857.56,High School,4,15.07,66,0.142,888.0,0
29,Male,47456.26,Bachelor,3,97.7,9,0.564,1411.0,1
35,Non-binary,89513.09,Doctorate,10,251.83,2,0.456,5567.0,0
50,Female,82114.96,Bachelor,7,279.19,8,0.598,14684.0,0
21,Female,69989.69,Bachelor,3,231.98,105,0.075,4968.0,2
46,Male,67487.75,Some College,8,348.08,9,0.607,7012.0,0
29,Female,97069.47,Bachelor,4,112.01,15,0.727,1506.0,0
41,Male,58417.17,Master,2,166.73,113,0.451,9783.0,2
29,Male,45005.1,Bachelor,2,175.16,73,0.263,7038.0,3
38,Male,83223.76,Master,8,125.59,2,0.739,14446.0,1
38,Female,51970.11,Bachelor,2,146.15,117,0.1,4483.0,0
45,Non-binary,67169.04,Bachelor,1,70.72,132,0.153,4062.0,2
38,Female,82117.8,Some College,1,120.56,95,0.172,5254.0,3
23,Female,22292.58,Bachelor,2,36.74,85,0.274,1180.0,0
19,Female,92513.76,Master,5,379.69,8,0.979,6780.0,1
34,Male,29810.29,Some College,5,58.33,15,0.604,3387.0,0
44,Female,76018.67,Bachelor,8,269.69,13,0.888,12039.0,1
27,Male,56241.12,Some College,16,139.55,6,0.76,17882.0,0
41,Female,41807.57,High School,2,336.38,109,0.387,1193.0,2
41,Male,29500.7,Some College,1,306.26,79,,3721.0,2
29,Male,27579.44,Master,8,95.51,15,0.565,2048.0,2
36,Female,74261.32,Bachelor,11,87.22,6,0.701,8863.0,0
50,Male,101631.88,Doctorate,12,136.36,4,0.926,12149.0,0
41,Female,62755.21,Some College,5,96.4,34,0.788,1375.0,0
40,Female,40625.69,Some College,2,13.55,72,0.208,552.0,2
42,Male,42984.13,Bachelor,1,35.02,95,0.266,110.0,2
39,Female,58035.87,Some College,1,221.51,105,0.336,8427.0,2
47,Male,44609.83,Master,7,86.44,27,0.467,709.0,3
33,Female,52967.53,Bachelor,3,437.35,107,0.383,4481.0,4
43,Male,86167.55,High School,6,134.17,21,0.346,2776.0,0
33,Male,80055.32,Doctorate,4,428.96,61,0.135,2631.0,5
58,Female,54480.24,Some College,4,169.67,21,0.415,3128.0,3
37,Female,56614.1,Some College,2,177.25,115,0.397,2749.0,1
29,Male,31970.72,Bachelor,1,64.02,108,0.291,991.0,0
36,Non-binary,48464.06,Bachelor,3,447.6,13,0.888,14682.0,1
29,Female,62542.37,Master,10,179.43,94,0.476,4947.0,4
39,Male,56002.89,High School,2,77.26,120,0.234,6715.0,6
45,Female,69847.96,Doctorate,3,154.98,142,0.122,4097.0,7
51,Female,29218.4,Some College,1,27.29,98,0.506,459.0,0
40,Female,75829.59,Some College,6,108.68,18,0.7,3736.0,2
33,Male,51359.68,Doctorate,1,63.42,82,0.037,585.0,0
27,Female,32629.7,Bachelor,1,36.72,82,0.096,859.0,2
73,Female,49673.03,Master,14,184.02,13,0.656,6019.0,0
64,Female,92664.87,Bachelor,10,125.53,6,0.737,4319.0,0
47,Female,52045.84,Bachelor,4,221.51,101,0.259,5471.0,5
40,Male,40360.93,Some College,0,64.48,140,0.188,5211.0,2
51,Female,99872.49,Bachelor,9,248.15,4,0.909,7422.0,0
52,Female,82811.53,Some College,3,172.87,77,0.438,4150.0,4
29,Male,26839.86,Some College,3,43.53,115,0.177,1039.0,1
51,Female,76023.13,High School,5,54.42,29,0.825,1775.0,0
56,Male,113874.86,Master,11,340.58,3,0.53,6744.0,1
52,Female,54921.78,Some College,1,321.71,103,0.147,2219.0,3
24,Male,42938.48,Some College,1,36.87,91,0.101,464.0,0
52,Female,80584.27,Master,7,270.73,1,0.738,7635.0,1
52,Male,57065.4,High School,8,257.24,6,0.811,9146.0,1
38,Female,37333.55,High School,0,11.77,75,0.184,422.0,1
55,Female,40076.44,Some College,0,202.67,34,0.195,1640.0,1
30,,37272.76,Some College,1,287.55,67,0.313,4320.0,3
41,Male,73197.39,Master,12,336.91,12,0.755,8103.0,0
40,Female,43764.97,Bachelor,3,98.65,23,0.517,1729.0,3
39,Male,43052.8,Bachelor,2,256.99,63,0.25,1296.0,2
32,Female,30080.34,High School,7,142.9,26,0.495,1797.0,1
44,Female,42592.76,Bachelor,6,91.5,125,0.188,2854.0,5
50,Female,52381.72,Some College,1,144.06,23,0.667,3537.0,1
43,Male,76117.07,Some College,13,500.0,12,0.888,10857.0,1
31,Male,46999.16,Bachelor,8,139.63,9,0.233,1099.0,1
36,Female,81154.17,Bachelor,2,91.9,19,0.794,3018.0,4
40,Male,61919.59,High School,2,243.71,133,0.122,,5
26,Female,30178.81,High School,3,101.42,108,0.025,1578.0,1
37,Female,33905.79,Bachelor,0,85.5,90,0.215,844.0,1
51,Female,42206.08,Some College,7,153.03,31,0.639,3915.0,2
59,Female,57301.4,Some College,6,170.39,8,0.731,12259.0,0
33,Female,49700.1,Doctorate,1,231.0,138,0.075,5086.0,4
28,Female,45615.34,Some College,3,109.32,80,0.273,5229.0,4
57,Male,50678.13,Bachelor,4,159.68,31,0.512,2598.0,0
43,Male,43843.98,Bachelor,3,122.54,21,0.629,865.0,0
37,Male,48243.81,High School,2,26.96,87,0.37,176.0,1
49,Male,62040.66,Bachelor,4,210.8,12,0.491,4928.0,2
23,Female,70057.74,Bachelor,4,422.21,93,0.153,5258.0,3
38,Female,59939.47,Bachelor,5,137.76,6,0.616,6590.0,0
67,Female,59686.19,Bachelor,7,232.36,7,0.855,10787.0,0
39,Non-binary,94228.74,Doctorate,2,104.2,22,0.64,3968.0,2
32,Male,73437.77,Some College,2,101.23,89,0.274,5945.0,2
45,Male,53001.52,Bachelor,3,272.97,23,0.643,1905.0,0
40,Male,44548.87,Some College,2,40.13,59,0.347,42542.12107086179,1
44,Female,68261.57,Bachelor,4,264.4,12,0.87,1416.0,1
25,Male,36194.76,Some College,0,60.57,111,0.102,273.0,3
30,Male,21838.5,Some College,1,11.02,49,0.206,516.0,2
18,Male,67075.87,Some College,1,41.18,60,0.087,1719.0,1
30,Female,56649.02,Bachelor,4,67.4,28,0.563,2039.0,4
62,Male,73969.33,Master,8,121.72,9,0.898,8787.0,1
36,Male,48648.09,Master,10,167.54,17,0.693,752.0,0
31,Female,47040.53,Some College,7,55.49,22,0.579,2697.0,0
43,Male,86604.7,Some College,3,500.0,109,0.288,3573.0,0
28,Female,64374.71,Master,2,479.72,131,0.08,3040.0,2
55,Female,78040.02,Bachelor,8,349.49,5,0.895,8124.0,0
44,Female,67400.41,Master,5,183.85,14,0.341,3165.0,1
33,Female,28056.86,High School,2,217.73,148,0.387,2010.0,2
34,Male,33680.14,High School,6,41.56,32,0.826,1700.0,1
39,Female,103172.51,Some College,4,87.12,11,0.525,731.0,1
33,Female,52569.8,High School,1,174.66,103,0.317,6537.0,3
45,Female,72229.26,Master,10,213.34,9,0.883,6737.0,0
52,Male,88127.75,Bachelor,8,256.12,5,0.918,11462.0,0
44,Male,59596.16,Doctorate,12,149.68,2,0.848,16398.0,0
42,Female,81646.27,Bachelor,12,209.82,4,0.853,6225.0,1
37,Non-binary,44240.4,Bachelor,4,78.7,8,0.751,942.0,2
39,Female,32482.83,Bachelor,4,68.9,11,0.713,1948.0,2
40,Male,69051.78,Some College,6,59.92,27,0.63,3059.0,2
26,Female,25333.36,Bachelor,0,87.19,94,0.204,563.0,0
44,Female,53381.08,Some College,2,93.86,102,0.339,2868.0,4
50,Male,35118.69,Bachelor,1,137.56,23,0.675,1350.0,4
36,Female,74751.31,Bachelor,13,500.0,8,0.948,5328.0,0
33,Non-binary,74728.02,Bachelor,1,137.37,113,0.432,4479.0,5
47,Female,91867.69,High School,2,267.23,139,0.3,1577.0,4
39,Male,32763.14,Some College,5,138.56,22,0.857,5264.0,0
39,Male,41751.23,Master,3,213.75,26,0.723,2974.0,0
45,Male,68297.68,Master,2,139.0,126,0.281,3058.0,3
30,Female,59332.11,Doctorate,10,342.92,1,0.52,7172.0,0
39,Female,91096.02,Bachelor,3,240.09,65,0.291,2923.0,2
40,Female,53379.68,Bachelor,1,127.75,112,0.255,1472.0,1
31,Male,62635.42,Master,2,192.15,83,0.201,8887.0,2
36,Female,33314.96,Some College,1,5.0,87,0.431,582.0,3
56,Male,61920.52,Doctorate,4,348.4,11,0.869,7636.0,0
41,Male,54462.61,Some College,0,,82,0.235,348.0,3
56,Female,70105.47,Master,6,87.48,5,0.775,9299.0,0
38,Female,46447.0,Bachelor,1,118.02,118,0.243,1756.0,5
55,Male,92160.15,High School,4,143.58,10,0.263,4063.0,1
31,Male,55592.6,Some College,8,79.85,15,0.531,4562.0,0
27,Female,44424.96,Master,1,13.88,54,0.261,1555.0,0
32,Female,77456.31,Bachelor,2,208.91,104,0.354,4051.0,1
43,Male,45293.38,High School,2,25.29,46,0.405,1096.0,4
36,Female,48049.95,Master,0,12.36,82,0.415,1181.0,2
35,Male,41664.93,Master,5,242.38,26,0.639,3901.0,1
33,Male,21261.68,Bachelor,0,10.92,46,0.099,418.0,2
35,Male,58551.86,Some College,3,140.38,20,0.752,6047.0,1
30,Male,55814.94,Bachelor,8,386.79,13,0.719,6808.0,1
47,Male,54786.55,Master,6,174.42,34,0.664,3233.0,0
20,Male,20508.94,High School,0,14.37,71,0.146,270.0,0
49,Female,38243.11,High School,0,25.94,62,0.44,455.0,0
50,Male,41691.84,Some College,6,37.62,8,0.64,4382.0,1
34,Male,23092.3,Bachelor,0,8.28,106,0.096,245.0,0
43,Female,87495.89,Bachelor,11,204.75,4,0.599,7835.0,1
22,Male,34952.64,Bachelor,0,41.44,96,0.223,1230.0,1
25,Female,45187.11,Bachelor,7,102.11,14,0.486,939.0,1
44,Male,54939.66,Doctorate,0,161.8,17,0.264,1783.0,1
35,Female,42535.21,Some College,2,299.8,34,0.842,898.0,0
44,Non-binary,38084.78,Some College,1,37.57,66,0.079,895.0,2
34,Male,27693.8,Some College,1,12.14,98,0.333,650.0,1
31,Female,42273.27,Doctorate,0,318.09,119,0.176,4302.0,1
36,Female,42343.36,High School,0,8.03,49,0.258,682.0,2
56,Female,109383.01,Bachelor,10,223.69,1,0.757,8577.0,0
51,Male,50085.65,Bachelor,3,79.36,34,0.506,6576.0,2
34,Male,34141.62,Bachelor,3,196.86,26,0.49,31407.003388326586,3
26,Female,25409.69,Some College,2,100.37,13,0.607,4427.0,2
31,Male,66777.53,Bachelor,2,220.74,107,0.117,2891.0,4
21,Female,43546.38,Some College,2,406.5,113,0.282,4036.0,2
55,Male,58668.55,Some College,6,47.39,31,0.534,2073.0,0
49,Male,85265.67,High School,3,178.44,19,0.659,3744.0,0
40,Male,71740.8,Bachelor,3,142.43,26,0.499,2581.0,0
52,Male,48588.48,Some College,6,151.04,24,0.783,4596.0,1
36,Female,112851.15,High School,7,268.96,10,0.592,12157.0,0
49,Male,51525.01,Bachelor,9,17.08,18,0.862,1827.0,1
29,Female,42721.01,High School,2,105.96,14,0.524,2022.0,0
37,Female,79013.68,Bachelor,1,382.92,143,0.234,4672.0,4
23,Female,35009.33,Some College,1,11.48,64,0.168,626.0,0
38,Female,50145.52,Bachelor,5,35.94,19,0.464,400.0,3
33,Female,99271.36,Some College,11,336.33,2,0.846,8945.0,0
45,Female,27989.29,High School,0,124.6,80,0.354,643.0,0
31,Female,36561.06,Some College,0,55.74,76,0.069,461.0,1
42,Male,25159.15,High School,1,85.28,57,0.404,323.0,4
40,Non-binary,66458.62,High School,1,112.5,77,0.379,3160.0,6
29,Male,46116.02,Bachelor,1,19.95,97,0.441,1331.0,0
34,Male,52677.0,High School,2,84.71,119,0.457,859.0,0
38,Male,34328.05,Some College,1,6.42,54,0.701,960.0,1
20,Female,34538.73,High School,0,7.91,49,0.102,872.0,0
44,Female,66361.75,Bachelor,10,500.0,1,0.943,13051.0,0
44,Female,50721.34,Master,4,86.37,30,0.824,2960.0,0
39,Male,84706.35,Master,7,208.69,12,0.867,8222.0,0
54,Male,83233.82,Some College,6,404.11,4,0.768,6581.0,1
38,Male,38774.27,Some College,5,350.02,62,0.188,3326.0,2
45,Male,52334.44,Some College,0,39.62,114,0.604,120.0,2
41,Male,76885.56,Bachelor,1,154.96,92,0.434,6967.0,2
30,Male,66290.54,Master,13,138.33,1,0.717,4948.0,1
29,Non-binary,14559.65,High School,1,13.47,75,0.261,347.0,0
29,Female,83648.26,Doctorate,2,97.93,113,0.514,3968.0,2
42,Male,66057.62,Master,2,178.03,109,0.423,4485.0,8
25,Male,34930.37,Bachelor,6,74.47,22,0.334,2322.0,0
33,Female,113620.36,Master,2,1515.2549176200823,82,0.166,3597.0,2
56,Female,63265.95,Some College,0,84.15,20,0.34,2700.0,1
42,Female,58175.56,Bachelor,10,365.67,8,0.834,10733.0,0
39,Female,70247.45,Some College,6,110.76,106,0.216,4132.0,4
54,Male,49752.93,Some College,4,108.37,7,0.478,3772.0,1
22,Male,53381.63,Some College,0,96.73,117,0.072,3660.0,0
39,Male,39084.4,Master,5,142.57,31,0.684,2544.0,0
30,Female,58121.45,Master,1,165.61,86,0.128,1495.0,1
46,Female,76878.22,Bachelor,12,320.17,5,0.768,5080.0,2
31,Male,35432.17,Some College,0,21.26,65,0.253,773.0,0
26,Female,39541.72,Some College,7,273.52,16,0.779,3021.0,1
36,Female,65182.19,High School,6,98.58,18,0.407,3338.0,3
38,Female,25347.43,Some College,1,15.53,117,0.147,222.0,0
35,Female,24752.84,Some College,1,47.58,51,0.278,764.0,1
33,Female,48048.95,Bachelor,3,95.54,10,0.902,2810.0,0
33,Female,42690.67,Some College,0,75.12,119,0.416,449.0,0
37,Female,18136.87,Master,2,19.92,100,0.169,345.0,0
51,Female,63615.91,Bachelor,12,500.0,5,0.617,6842.0,0
48,Male,56473.6,Bachelor,11,344.83,3,0.588,8679.0,1
50,Female,55147.17,Some College,4,234.25,12,0.883,9702.0,0
44,Female,62017.27,Master,6,162.48,21,0.731,5316.0,2
49,Female,43118.54,Bachelor,1,214.9,133,0.241,8955.0,1
33,Male,126260.11,Bachelor,11,500.0,10,0.511,7860.0,0
40,Male,41103.21,Doctorate,1,6.32,88,0.148,502.0,1
51,Male,30455.82,Some College,2,35.08,86,0.192,178.0,1
49,Female,60247.47,Bachelor,9,433.88,1,0.695,7068.0,2
32,Female,53206.01,High School,2,28.02,98,0.02,28715.73137614619,0
49,Male,100223.52,Bachelor,12,134.9,11,0.734,7507.0,0
41,Female,47572.1,Bachelor,2,253.1,110,0.424,2151.0,3
38,Female,35318.09,Bachelor,2,2056.2388705795915,54,0.187,649.0,4
44,Female,42577.18,High School,3,28.44,64,0.365,310.0,1
47,Male,57726.28,Bachelor,2,69.43,89,0.346,7737.0,2
44,Female,82795.94,High School,2,326.8,11,0.627,20173.0,1
48,Male,28381.72,Bachelor,1,41.78,114,0.164,1118.0,3
31,Male,68407.55,Some College,3,207.57,114,0.225,9554.0,0
31,Female,61185.61,High School,0,309.08,102,0.271,4482.0,3
57,Male,90225.36,Bachelor,4,254.44,2,0.814,7281.0,1
42,Male,104288.85,Doctorate,7,475.27,5,0.67,5330.0,0
48,Male,70292.16,Some College,2,79.27,31,0.393,2122.0,1
30,Female,26200.29,High School,2,102.35,70,0.168,353.0,2
66,Female,83365.17,Some College,5,282.87,3,0.818,6768.0,1
53,Female,68576.75,Doctorate,5,42.37,27,0.389,42057.97244275503,1
42,Male,93691.87,Bachelor,11,268.2,2,0.797,9033.0,0
32,Male,47756.9,Doctorate,2,180.45,133,0.329,4077.0,3
49,Non-binary,77365.82,High School,0,78.3,75,0.467,306.0,1
43,Male,118571.62,Bachelor,8,456.9,8,0.776,12484.0,1
31,Female,45651.5,Bachelor,2,43.24,27,0.754,1963.0,0
24,Male,70290.73,Some College,4,46.19,94,0.199,3526.0,4
60,Female,66923.93,Bachelor,7,156.53,29,0.505,1969.0,1
27,Female,98194.77,Bachelor,5,144.55,11,0.889,6142.0,0
43,Male,131223.13,Bachelor,13,342.12,3,0.648,10269.0,1
